Timestamps,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
43,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,18.59,8.25,7.7,62.26,99.66,201.52,291.5,120.89,5.5,810.37
44,3.85,0.0,7.26,0.0,0.0,0.0,0.0,0.0,18.59,8.25,5.17,44.0,92.29,199.1,293.81,127.93,11.11,789.14
45,7.7,0.0,7.26,0.0,0.0,0.0,0.0,0.0,18.59,8.25,5.17,30.8,84.92,194.15,296.12,132.66,14.96,770.66
46,33.11,0.0,14.63,0.0,0.0,0.0,0.0,0.0,16.94,8.25,5.17,17.6,77.55,184.47,293.81,135.08,47.74,738.87
47,188.21,4.4,27.5,0.0,0.0,0.0,0.0,0.0,15.4,6.16,5.17,11.0,72.71,169.95,286.99,139.81,220.11,707.19
48,300.3,4.4,59.51,0.0,0.0,0.0,0.0,0.0,15.4,6.16,0.0,6.6,65.34,148.83,275.55,144.54,364.21,662.42
49,342.76,11.11,106.37,0.0,0.0,0.0,0.0,0.0,13.86,6.16,0.0,6.6,60.39,118.58,255.42,146.85,460.24,607.86
50,345.4,22.22,134.75,0.0,0.0,0.0,0.0,0.0,12.32,4.07,0.0,6.6,57.97,97.79,221.98,146.85,502.37,547.58
51,348.04,37.84,156.53,0.0,0.0,0.0,0.0,0.0,10.78,4.07,0.0,6.6,55.55,77.11,169.95,142.12,542.41,466.18
52,348.04,55.77,188.32,0.0,0.0,0.0,0.0,0.0,9.24,0.0,0.0,6.6,48.29,56.54,110.99,132.66,592.13,364.32
53,361.35,83.27,229.9,27.17,0.0,0.0,0.0,0.0,9.24,0.0,0.0,6.6,43.45,43.67,77.44,113.85,701.69,294.25
54,382.47,108.46,277.09,49.5,0.0,0.0,0.0,0.0,7.7,0.0,0.0,4.4,38.61,34.65,62.81,94.71,817.52,242.88
55,390.61,122.98,316.36,66.66,6.27,0.0,0.0,0.0,6.16,0.0,0.0,0.0,28.93,23.65,50.16,75.57,902.88,184.47
56,398.86,135.41,349.91,91.08,10.56,19.36,0.0,0.0,4.62,0.0,0.0,0.0,21.67,14.52,39.71,63.69,1005.18,144.21
57,401.5,142.89,368.61,103.29,14.74,36.3,13.2,0.0,3.08,0.0,0.0,0.0,14.41,10.89,31.35,51.92,1080.53,111.65
58,401.5,147.84,377.96,115.72,16.94,48.4,22.66,0.0,3.08,0.0,0.0,0.0,9.57,9.02,22.99,31.57,1131.02,76.23
59,398.86,150.37,385.0,126.5,21.12,55.77,28.27,0.0,0.0,0.0,0.0,4.4,7.15,5.39,12.54,6.71,1165.89,36.19
60,393.36,152.79,385.0,131.89,21.12,60.83,32.12,0.0,0.0,0.0,0.0,0.0,4.73,3.63,8.36,0.0,1177.11,16.72
61,387.86,150.37,382.69,134.53,23.21,63.36,33.99,0.0,3.08,0.0,0.0,4.4,4.73,3.63,6.27,0.0,1176.01,22.11
62,379.83,147.84,373.34,137.28,23.21,65.89,37.73,0.0,3.08,0.0,0.0,0.0,0.0,0.0,6.27,0.0,1165.12,9.35
63,369.27,145.42,363.99,139.92,25.41,68.42,37.73,0.0,3.08,0.0,0.0,0.0,0.0,0.0,4.18,0.0,1150.16,7.26
